date,close,volume,open,high,low,symbol
2020-08-18,151.04,8523389,151.97,153.19,147.4121,SQ
2020-08-17,152.48,13280510,144.49,153.68,143.18,SQ
2020-08-14,141.96,6654720,143.89,143.9999,139.7303,SQ
2020-08-13,143.19,9834960,140.9,145.51,140.2,SQ
2020-08-12,139.02,10603820,140.01,143.42,137.69,SQ
2020-08-11,138.25,13157140,137.94,142.9475,135.03,SQ
2020-08-10,139.34,13066330,147.53,147.82,138.66,SQ
2020-08-07,147.22,15577280,151.51,153.8399,143.35,SQ
2020-08-06,154.0,19352780,149.76,155.89,149.12,SQ
2020-08-05,146.55,39629710,153.16,158.43,146.2,SQ
2020-08-04,136.83,10870280,135.88,137.8,133.6,SQ
2020-08-03,134.8,11472570,130.26,136.135,130.26,SQ
2020-07-31,129.85,8606777,131.34,131.9,127.36,SQ
2020-07-30,129.13,10192330,128.54,131.37,125.33,SQ
2020-07-29,128.55,8693399,125.14,128.95,124.9,SQ
2020-07-28,123.51,7126066,125.2,127.53,123.32,SQ
2020-07-27,125.75,9685703,124.62,126.77,122.34,SQ
2020-07-24,121.41,8059974,119.89,122.91,117.0,SQ
2020-07-23,122.93,11010220,127.74,129.8494,121.32,SQ
2020-07-22,129.18,8437494,127.49,131.71,127.06,SQ
2020-07-21,126.99,10787520,129.95,130.8,125.07,SQ
2020-07-20,128.39,12423990,121.26,129.46,120.53,SQ
2020-07-17,120.73,6968161,120.98,122.38,118.59,SQ
2020-07-16,119.95,11827550,119.94,123.3,117.55,SQ
2020-07-15,122.2,9606889,124.01,124.48,117.66,SQ
2020-07-14,121.24,17175130,118.59,121.8536,111.14,SQ
2020-07-13,118.65,18489530,131.05,133.24,116.67,SQ
2020-07-10,128.05,11260840,128.39,129.6,125.255,SQ
2020-07-09,129.39,21959350,132.54,133.81,127.67,SQ
2020-07-08,133.35,25627380,127.2,133.43,127.0,SQ
2020-07-07,125.6,28573940,121.2,129.84,120.03,SQ
2020-07-06,118.97,34424020,118.79,128.36,118.03,SQ
2020-07-02,113.39,15066350,118.0,118.78,113.23,SQ
2020-07-01,115.9,22480940,106.92,117.13,106.54,SQ
2020-06-30,104.94,7605064,103.5,105.3,102.8875,SQ
2020-06-29,103.68,9210828,105.15,105.28,101.22,SQ
2020-06-26,104.3,19759110,105.03,107.84,102.5176,SQ
2020-06-25,104.78,13569790,102.46,106.15,101.286,SQ
2020-06-24,100.88,13250380,104.0,105.7492,98.93,SQ
2020-06-23,104.75,14042840,105.0,106.36,103.05,SQ
2020-06-22,104.22,17116980,99.74,105.46,99.25,SQ
2020-06-19,97.98,13879790,100.1,102.26,97.92,SQ
2020-06-18,98.27,8766867,97.0,98.6499,95.82,SQ
2020-06-17,97.03,17113700,94.78,100.0,94.7,SQ
2020-06-16,94.74,13026440,93.07,95.8681,92.56,SQ
2020-06-15,91.0,9813033,84.79,91.3,84.06,SQ
2020-06-12,86.72,9937283,89.02,89.18,84.25,SQ
2020-06-11,86.09,14754700,87.75,90.0,85.77,SQ
2020-06-10,91.91,9486666,90.26,92.97,89.5,SQ
2020-06-09,89.53,7748990,89.02,91.6538,87.87,SQ
2020-06-08,89.62,8751124,90.5,91.23,88.03,SQ
2020-06-05,89.93,11127650,90.0,91.45,88.067,SQ
2020-06-04,87.72,13368100,90.96,92.9599,86.19,SQ
2020-06-03,91.97,17089220,88.0,92.5496,87.09,SQ
2020-06-02,88.0,18364240,82.96,88.27,82.38,SQ
2020-06-01,82.72,8709651,81.0,83.42,80.12,SQ
2020-05-29,81.08,8329131,79.73,81.95,79.34,SQ
2020-05-28,79.62,9942677,81.02,82.32,79.0,SQ
2020-05-27,81.02,11637080,80.04,81.14,76.02,SQ
2020-05-26,80.79,9682757,83.98,84.09,80.5,SQ
2020-05-22,81.49,6262001,81.23,82.49,80.83,SQ
2020-05-21,81.49,10082070,79.5,81.7,78.76,SQ
2020-05-20,82.04,10152180,81.5,83.1,80.52,SQ
2020-05-19,79.25,14225550,76.45,82.14,76.25,SQ
2020-05-18,76.63,16255260,78.7,81.35,76.44,SQ
2020-05-15,80.26,16311990,77.75,81.13,76.65,SQ
2020-05-14,78.2,16038940,72.17,78.25,71.07,SQ
2020-05-13,73.79,13970120,75.32,75.8,70.82,SQ
2020-05-12,75.21,17015470,76.0,77.39,74.31,SQ
2020-05-11,74.9,12720570,75.7,75.9027,74.36,SQ
2020-05-08,76.05,20041140,72.04,76.4,72.0,SQ
2020-05-07,74.62,31027020,69.86,76.8,69.58,SQ
2020-05-06,68.1,16202940,67.32,69.81,67.12,SQ
2020-05-05,66.69,12011490,66.0,68.59,65.21,SQ
2020-05-04,63.69,7556932,61.34,64.17,61.09,SQ
2020-11-03,206.43,27512030,203.89,208.12,203.12,MSFT
2020-11-02,202.33,30842160,204.29,205.28,200.12,MSFT
2020-10-30,202.47,36980110,203.5,204.29,199.62,MSFT
2020-10-29,204.72,31432560,204.07,207.36,203.37,MSFT
2020-10-28,202.68,51195590,207.67,208.84,202.1,MSFT
2020-10-27,213.25,36700330,211.59,214.67,210.329,MSFT
2020-10-26,210.08,37111560,213.85,216.3399,208.1,MSFT
2020-10-23,216.23,18879610,215.03,216.28,213.16,MSFT
2020-10-22,214.89,22351450,213.93,216.055,211.7,MSFT
2020-10-21,214.8,22724910,213.12,216.92,213.12,MSFT
2020-10-20,214.65,22753510,215.8,217.37,213.0901,MSFT
2020-10-19,214.22,27625840,220.415,222.3,213.72,MSFT
2020-10-16,219.66,26057880,220.15,222.29,219.32,MSFT
2020-10-15,219.66,22733060,217.1,220.36,216.01,MSFT
2020-10-14,220.86,23451710,223.0,224.22,219.13,MSFT
2020-10-13,222.86,28950840,222.72,225.21,220.43,MSFT
2020-10-12,221.4,40461370,218.79,223.86,216.81,MSFT
2020-10-09,215.81,26458050,211.23,215.86,211.23,MSFT
2020-10-08,210.58,19925840,210.51,211.19,208.32,MSFT
2020-10-07,209.83,25681050,207.06,210.11,206.72,MSFT
2020-10-06,205.91,28554260,208.82,210.18,204.82,MSFT
2020-10-05,210.38,21331560,207.22,210.41,206.98,MSFT
2020-10-02,206.19,33154780,208.0,210.99,205.54,MSFT
2020-10-01,212.46,27158420,213.49,213.99,211.32,MSFT
2020-09-30,210.33,33829090,207.73,211.98,206.54,MSFT
2020-09-29,207.26,24464470,209.35,210.07,206.81,MSFT
2020-09-28,209.44,32004940,210.88,212.57,208.06,MSFT
2020-09-25,207.82,29437310,203.55,209.04,202.54,MSFT
2020-09-24,203.19,31202490,199.85,205.57,199.2,MSFT
2020-09-23,200.59,30803780,207.9,208.1,200.03,MSFT
2020-09-22,207.42,33517070,205.06,208.1,202.075,MSFT
2020-09-21,202.54,39839660,197.19,202.71,196.38,MSFT
2020-09-18,200.39,55225330,202.8,203.65,196.25,MSFT
2020-09-17,202.91,34011260,200.05,204.33,199.96,MSFT
2020-09-16,205.05,26372460,210.62,210.65,204.64,MSFT
2020-09-15,208.78,21823940,208.42,209.78,206.93,MSFT
2020-09-14,205.41,30375770,204.24,209.2,204.03,MSFT
2020-09-11,204.03,33620070,207.2,208.63,201.24,MSFT
2020-09-10,205.37,35461510,213.4,214.74,204.11,MSFT
2020-09-09,211.29,45678990,207.6,214.8399,206.7,MSFT
2020-09-08,202.66,52924330,206.5,210.03,202.2,MSFT
2020-09-04,214.25,59664070,215.1,218.3599,205.19,MSFT
2020-09-03,217.3,58400290,229.27,229.31,214.9602,MSFT
2020-09-02,231.65,34080840,227.97,232.86,227.35,MSFT
2020-09-01,227.27,25791240,225.51,227.45,224.43,MSFT
2020-08-31,225.53,28774160,227.0,228.7,224.31,MSFT
2020-08-28,228.91,26292900,228.18,230.644,226.58,MSFT
2020-08-27,226.58,57602200,222.89,231.15,219.4,MSFT
2020-08-26,221.15,39600830,217.88,222.09,217.36,MSFT
2020-08-25,216.47,23043700,213.1,216.61,213.1,MSFT
2020-08-24,213.69,25460150,214.79,215.52,212.43,MSFT
2020-08-21,213.02,36249320,213.86,216.25,212.85,MSFT
2020-08-20,214.58,26981480,209.54,215.0,208.91,MSFT
2020-08-19,209.7,27627560,211.49,212.1,209.25,MSFT
2020-08-18,211.49,21336170,210.53,212.36,209.21,MSFT
2020-08-17,210.28,20184760,209.6,211.1874,208.915,MSFT
2020-08-14,208.9,17958940,208.76,209.59,207.51,MSFT
2020-08-13,208.7,22588870,209.44,211.35,208.15,MSFT
2020-08-12,209.19,28041360,205.29,210.28,204.75,MSFT
2020-08-11,203.38,36446460,207.155,207.65,203.14,MSFT
2020-08-10,208.25,36716460,211.67,211.88,206.35,MSFT
2020-08-07,212.48,27820420,214.85,215.7,210.93,MSFT
2020-08-06,216.35,32656840,212.34,216.3705,211.55,MSFT
2020-08-05,212.94,28858620,214.9,215.0,211.57,MSFT
2020-08-04,213.29,49280060,214.17,214.77,210.31,MSFT
2020-08-03,216.54,78983010,211.52,217.64,210.44,MSFT
2020-07-31,205.01,51247970,204.4,205.1,199.01,MSFT
2020-07-30,203.9,25079600,201.0,204.46,199.57,MSFT
2020-07-29,204.06,19632600,202.5,204.65,202.01,MSFT
2020-07-28,202.02,23251390,203.61,204.7,201.74,MSFT
2020-07-27,203.85,30160870,201.47,203.97,200.86,MSFT
2020-07-24,201.3,39826990,200.42,202.86,197.51,MSFT
2020-07-23,202.54,67457040,207.19,210.92,202.15,MSFT
2020-07-22,211.75,49605690,209.2,212.3,208.39,MSFT
2020-07-21,208.75,38105780,213.66,213.94,208.03,MSFT
2020-07-20,211.6,36884840,205.0,212.3,203.01,MSFT
2020-07-17,202.88,31635280,204.47,205.04,201.39,MSFT
2020-07-16,203.92,29940650,205.4,205.7,202.31,MSFT
2020-07-15,208.04,32179410,209.56,211.33,205.03,MSFT
2020-07-14,208.35,37591820,206.13,208.85,202.03,MSFT
2020-07-13,207.07,38135610,214.48,215.8,206.5,MSFT
2020-07-10,213.67,26177630,213.62,214.08,211.08,MSFT
2020-07-09,214.32,33121680,216.33,216.38,211.47,MSFT
2020-07-08,212.83,33600030,210.07,213.26,208.69,MSFT
2020-07-07,208.25,33600730,210.45,214.67,207.99,MSFT
2020-07-06,210.7,31897630,208.834,211.13,208.09,MSFT
